country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
France,19.5,22.4,22.5,22.2,19.5,18.2,14.2,6.65,5.68,5.98,7.64,6.67,6.89,6.51,6.07,5.5,5.53,4.91,4.79,4.13,3.77,3.09,3.19,3.62,3.3,3.23,3.1
Gabon,14.9,20.9,28.6,37.9,49,61.5,75.3,90,105,121,136,152,165,175,182,186,187,176,154,142,133,116,93.8,61.8,39.3,24.8,18.2
Gambia,2.34,3.38,4.8,6.73,9.26,12.5,16.6,21.4,27.1,33.6,40.8,48.3,55.8,63,69.8,73.8,76.8,79.3,70.8,60.7,44.8,33.8,22.5,22.8,24.4,19.3,24.9
Georgia,0.1,0.1,0.09,0.11,0.08,0.08,0.08,0.07,0.8,0.82,1.58,1.92,1.11,1.17,1.73,1.35,1.54,1.47,2.11,2.34,3.21,4.42,8.38,5.86,6.88,5.27,4.71
Germany,11.5,14.7,12.4,13.3,11.3,9.68,9.92,6.08,4.91,4.97,4.59,4.34,4.04,3.85,3.49,3.35,3.36,3.33,3.32,3.13,3,3.06,2.87,2.88,2.99,2.7,2.56
Ghana,425,550,693,851,1020,1190,1350,1500,1640,1770,1890,2000,2090,2160,2210,2220,2200,2020,1820,1770,1650,1310,1010,943,849,763,567
Greece,1.02,1.04,1.4,1.51,1.83,1.46,1.4,0.94,0.94,0.62,0.53,0.32,0.47,0.28,0.25,0.26,0.2,0.24,0.16,0.21,0.23,0.22,0.38,0.36,0.23,0.21,0.19
Grenada,0.16,0.17,0.2,0.25,0.28,0.25,0.29,0.29,0.3,0.3,0.31,0.36,0.33,0.28,0.26,0.2,0.2,0.17,0.15,0.14,0.16,0.16,0.15,0.15,0.17,0.14,0.13
Guatemala,24.3,34.8,37.1,43.8,47.9,46.6,49.1,53.4,61.1,57,24.8,25.5,28.9,30.8,33.2,118,120,118,103,83.3,70.7,64.2,53.6,47.9,51.3,51.1,50
Guinea,25.3,35.9,50,68.3,91.5,120,153,191,232,276,320,366,413,460,504,545,574,562,555,587,607,579,542,297,154,143,138
Guinea-Bissau,7.38,10.5,14.7,20,26.9,35.4,45.7,57.9,72.4,89,107,127,149,171,193,214,226,236,251,258,257,246,224,184,122,75.8,57
Guyana,4.51,4.87,6.45,7.9,6.84,6.61,8.33,6.22,6.2,9.37,12.2,17.9,18.7,15.5,14.4,9.93,9.88,8.59,6.85,5.66,5.8,6.01,5.59,5.32,5.1,4.86,4.72
Haiti,235,334,452,590,745,911,1080,1250,1400,1530,1630,1720,1760,1760,1720,1630,1470,1350,1260,1140,970,754,539,329,216,164,134
Honduras,17.3,21,24.7,28.4,31.6,34.5,37.1,39.2,40.8,41.9,42.5,42.8,42.8,29.6,18.4,12.3,7.79,7.83,9.38,8.45,9.67,12.5,14.7,16.8,18.6,21.2,21.6
Hungary,1.25,1.42,1.18,1.54,1.21,1.2,1,1.05,0.76,0.81,0.78,0.56,0.57,0.49,0.46,0.4,0.35,0.3,0.24,0.28,0.25,0.25,0.22,0.18,0.21,0.2,0.19
Iceland,0.03,0.04,0.05,0.06,0.07,0.07,0.06,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01
India,141,277,506,858,1360,2010,2790,3670,4570,5450,6240,6920,7440,7800,7970,7850,7430,6790,6070,5500,5130,4790,4390,4000,3630,3260,2890
